city,state,lat,lng
San Leandro,CA,37.7249296,-122.1560768
Columbia,SC,34.0007104,-81.0348144
Library,PA,40.2897921,-80.0097743
Sunnyvale,CA,37.36883,-122.0363496
Warren,MI,42.5144566,-83.0146526
Wilmington,DE,39.7390721,-75.5397878
Montgomery Village,MD,39.172728,-77.2036041
Agawam,MA,42.0695391,-72.6148117
New York,NY,40.7127837,-74.0059413
Mildura,AUSTRALIA,-34.2080167,142.1245535
Holmes,PA,39.901253,-75.3076904
Toledo,OH,41.6639383,-83.555212
Lakewood,CO,39.7047095,-105.0813734
Lafayette,CO,39.9935959,-105.0897058
Pomona,NJ,39.4665221,-74.5482393
Pittsburg,CA,38.0279762,-121.8846806
Greenwood,IN,39.6136578,-86.1066526
Jacksonville,FL,30.3321838,-81.655651
Fayetteville,North Carolina,35.0526641,-78.8783585
Solvang,CA,34.5958201,-120.1376481
San Diego,CA,32.715738,-117.1610838
Dallas,TX,32.7766642,-96.7969879
Irvine,CA,33.6839473,-117.7946942
Forth Worth,TX,32.7554883,-97.3307658
Sapulpa,OK,35.9987007,-96.1141664
Hempstead,NY,40.7062128,-73.6187397
Milan,Italy,45.4654219,9.1859243
Fullerton,CA,33.8703596,-117.9242966
North Bergen,NJ,40.8042674,-74.012084
Bountiful,UT,40.8893895,-111.880771
San Marcos,CA,33.1433723,-117.1661449
Miami,FL,25.7616798,-80.1917902
Colmar,PA,40.2687247,-75.2552829
"Santa Monica,",CA,34.0194543,-118.4911912
Pembroke Pines,FL,26.007765,-80.2962555
Newark,NJ,40.735657,-74.1723667
Somerset,NJ,40.5292099,-74.6400432
Inglewood,CA,33.9616801,-118.3531311
Las Vegas,NV,36.1699412,-115.1398296
Tempe,AZ,33.4255104,-111.9400054
West Chester,PA,39.9606643,-75.6054882
Verona,NJ,40.8298006,-74.2401609
Hamilton,NJ,40.2115109,-74.6796651
Mishawaka,IN,41.6619927,-86.1586156
Porter,TX,30.1044506,-95.2364276
Anaheim,CA,33.8352932,-117.9145036
Silver Spring,MD,38.9906657,-77.026088
San Jose,CA,37.3382082,-121.8863286
St. John's,NL,47.5605413,-52.7128315
New Haven,CT,41.308274,-72.9278835
Chino Hills,CA,33.9898188,-117.7325848
Enfield,CT,42.0027181,-72.5441445
Windsor Locks,CT,41.9242917,-72.6454469
Cedar City,UT,37.6774769,-113.0618931
Fayetteville,NC,35.0526641,-78.8783585
Colorado Springs,CO,38.8338816,-104.8213634
Maple Grove,MN,45.0724642,-93.4557877
Los Angeles,CA,34.0522342,-118.2436849
Antioch,CA,38.0049214,-121.805789
Grand rapids,MI,42.9633599,-85.6680863
Gilbert,AZ,33.3528264,-111.789027
Calgary,"Alberta, Canada",51.0486151,-114.0708459
Dubai,UAE,25.2048493,55.2707828
West Covina,CA,34.0686208,-117.9389526
Dover,DE,39.158168,-75.5243682
Williamsville,NY,42.963947,-78.7378091
Montclair,CA,34.0775104,-117.6897776
Big Spring,TX,32.2503979,-101.4787355
Hawthorne,CA,33.9164032,-118.3525748
Escondido,CA,33.1192068,-117.086421
Angola,IN,41.6347726,-84.9994088
Encinitas,CA,33.0369867,-117.2919818
Lavon,TX,33.0276193,-96.4341524
Pasadena,CA,34.1477849,-118.1445155
Holmes Beach,FL,27.4953156,-82.7109329
Chalfont,PA,40.2884395,-75.2090623
Brentwood,CA,37.931868,-121.6957863
Apple Valley,CA,34.5008311,-117.1858759
Madera,CA,36.9613356,-120.0607176
Tracy,CA,37.7396513,-121.4252227
Tucson,AZ,32.2217429,-110.926479
Scottsdale,AZ,33.4941704,-111.9260519
Pawling,NY,41.5620381,-73.6026271
Sterling,VA,39.0066993,-77.4291298
Van Nuys,CA,34.1898566,-118.451357
East Lyme,CT,41.3531533,-72.2295237
Rancho Cucamonga,CA,34.1063989,-117.5931084
Calgary,AB,51.0486151,-114.0708459
Artesia,CA,33.8658484,-118.0831212
Santa Monica,Ca,34.0194543,-118.4911912
Sartell,MN,45.6216318,-94.2069365
Ashburn,VA,39.0437567,-77.4874416
Ashland,OR,42.1945758,-122.7094767
Conifer,CO,39.5202516,-105.3056996
Austin,TX,30.267153,-97.7430608
Marietta,GA,33.952602,-84.5499327
